ACC_X,ACC_Y,ACC_Z,MAG_X,MAG_Y,MAG_Z, GYRO_X,GYRO_Y,GYRO_Z,COUNT
-11.990407,11.990407,1067.146240,-140.000000,57.777779,-442.500000,-7.420371,0.280014,-1.260063,46
0.000000,0.000000,1055.155884,-137.777771,73.333336,-435.000000,-6.790339,0.560028,-0.700035,47
-11.990407,11.990407,1043.165405,-140.000000,62.222221,-437.500000,-7.140357,0.420021,-0.840042,48
-23.980814,0.000000,1055.155884,-135.555557,75.555557,-432.500000,-6.790339,0.280014,-0.770038,49
-23.980814,0.000000,1055.155884,-137.777771,60.000000,-440.000000,-5.950297,0.140007,-0.840042,50
23.980814,23.980814,1007.194214,-140.000000,68.888885,-435.000000,-6.580329,-0.210010,0.280014,51
11.990407,23.980814,1019.184631,-137.777771,62.222221,-440.000000,-6.370318,-0.280014,-0.700035,52
0.000000,23.980814,1055.155884,-137.777771,73.333336,-435.000000,-6.440322,-0.560028,-0.910046,53
0.000000,11.990407,1067.146240,-137.777771,55.555557,-440.000000,-6.930346,-0.630032,-0.350018,54
-23.980814,0.000000,1007.194214,-137.777771,75.555557,-440.000000,-5.670284,-0.840042,-0.490025,55
-11.990407,0.000000,1055.155884,-137.777771,60.000000,-440.000000,-6.020301,-0.840042,-0.490025,56
-47.961628,0.000000,1055.155884,-133.333328,73.333336,-435.000000,-5.670284,-0.630032,-0.350018,57
-47.961628,11.990407,1043.165405,-137.777771,62.222221,-435.000000,-6.090304,-0.630032,-1.260063,58
-71.942444,23.980814,1031.175049,-140.000000,68.888885,-437.500000,-5.950297,-0.770038,-1.120056,59
0.000000,0.000000,1043.165405,-140.000000,60.000000,-437.500000,-5.880294,-0.700035,-0.210010,60
0.000000,23.980814,1055.155884,-133.333328,75.555557,-435.000000,-6.720336,-0.210010,-0.420021,61
-23.980814,11.990407,1055.155884,-140.000000,60.000000,-440.000000,-7.770389,0.700035,-0.630032,62
-47.961628,0.000000,1031.175049,-135.555557,73.333336,-440.000000,-7.770389,0.070004,-0.560028,63
-23.980814,0.000000,1031.175049,-140.000000,53.333332,-440.000000,-7.840392,0.630032,-0.840042,64
-23.980814,0.000000,1079.136597,-137.777771,71.111115,-437.500000,-8.960448,0.840042,-0.490025,65
-23.980814,11.990407,1067.146240,-133.333328,64.444443,-437.500000,-9.520476,1.190060,-0.630032,66
-23.980814,0.000000,1055.155884,-135.555557,73.333336,-437.500000,-8.960448,0.280014,0.210010,67
-35.971222,0.000000,1055.155884,-140.000000,62.222221,-440.000000,-9.520476,-0.280014,-0.140007,68
-23.980814,47.961628,1055.155884,-137.777771,68.888885,-437.500000,-9.730487,0.350018,-0.560028,69
-23.980814,11.990407,1043.165405,-142.222229,64.444443,-435.000000,-9.870494,0.070004,-0.210010,70
23.980814,0.000000,1055.155884,-133.333328,75.555557,-440.000000,-8.960448,0.560028,-0.770038,71
-23.980814,0.000000,1031.175049,-140.000000,60.000000,-445.000000,-8.680434,0.140007,-1.190060,72
-35.971222,0.000000,1043.165405,-142.222229,66.666664,-440.000000,-7.910396,-0.630032,-0.210010,73
-11.990407,23.980814,1043.165405,-133.333328,62.222221,-437.500000,-7.910396,-0.630032,-0.700035,74
-23.980814,23.980814,1055.155884,-133.333328,73.333336,-435.000000,-5.320266,-0.980049,-0.840042,75
11.990407,35.971222,1019.184631,-140.000000,62.222221,-437.500000,-4.830242,-1.190060,-0.420021,76
-23.980814,71.942444,1031.175049,-133.333328,73.333336,-435.000000,-4.550228,-2.310116,0.280014,77
-23.980814,11.990407,1019.184631,-137.777771,57.777779,-442.500000,-3.430171,-2.380119,0.210010,78
-47.961628,0.000000,1055.155884,-135.555557,73.333336,-435.000000,-2.800140,-2.940147,-0.210010,79
-35.971222,0.000000,1055.155884,-137.777771,57.777779,-440.000000,-2.240112,-2.800140,-0.140007,80
-71.942444,47.961628,1055.155884,-135.555557,66.666664,-435.000000,-2.310116,-2.450123,0.700035,81
-23.980814,35.971222,1055.155884,-137.777771,62.222221,-437.500000,-2.660133,-2.590130,0.490025,82
-23.980814,0.000000,1031.175049,-135.555557,73.333336,-437.500000,-3.780189,-2.380119,0.210010,83
-35.971222,23.980814,1031.175049,-142.222229,57.777779,-437.500000,-3.780189,-1.540077,0.350018,84
-47.961628,23.980814,1055.155884,-135.555557,71.111115,-435.000000,-5.740287,-0.910046,-0.140007,85
-11.990407,23.980814,1043.165405,-137.777771,62.222221,-442.500000,-6.790339,0.770038,-0.840042,86
0.000000,23.980814,1031.175049,-131.111115,73.333336,-437.500000,-7.070354,0.420021,-0.140007,87
-23.980814,23.980814,1031.175049,-137.777771,66.666664,-437.500000,-7.350368,0.840042,-0.490025,88
-23.980814,71.942444,1031.175049,-137.777771,73.333336,-440.000000,-8.750438,1.610080,-0.070004,89
-35.971222,23.980814,1043.165405,-140.000000,60.000000,-440.000000,-8.260413,1.750087,-0.070004,90
0.000000,0.000000,1055.155884,-133.333328,71.111115,-437.500000,-8.260413,1.750087,-0.420021,91
