ACC_X,ACC_Y,ACC_Z,MAG_X,MAG_Y,MAG_Z, GYRO_Y,GYRO_X,GYRO_Z,COUNT
-143.884888,1007.194214,-95.923256,211.111115,-506.666656,177.500000,-1.330067,-1.120056,-2.940147,73
-83.932854,1019.184631,-83.932854,211.111115,-513.333313,185.000000,-1.540077,-1.820091,-3.010150,74
-71.942444,1007.194214,-71.942444,211.111115,-497.777771,177.500000,-1.330067,-0.840042,-3.710186,75
-95.923256,1031.175049,-71.942444,208.888885,-508.888885,187.500000,-0.910046,-0.560028,-3.780189,76
-71.942444,1007.194214,-71.942444,211.111115,-504.444458,182.500000,-0.700035,-0.980049,-2.520126,77
-119.904068,1019.184631,-83.932854,204.444443,-513.333313,185.000000,-1.400070,-0.910046,-1.680084,78
-47.961628,1007.194214,-143.884888,211.111115,-502.222229,180.000000,-1.960098,-0.840042,-1.260063,79
-107.913666,1031.175049,-131.894485,211.111115,-506.666656,182.500000,-2.100105,-0.910046,0.070004,80
-95.923256,1007.194214,-143.884888,208.888885,-504.444458,180.000000,-1.750087,-0.350018,0.770038,81
-83.932854,1019.184631,-95.923256,206.666672,-508.888885,185.000000,-1.610080,0.700035,1.400070,82
0.000000,1031.175049,-119.904068,213.333328,-504.444458,180.000000,-1.610080,1.750087,2.030102,83
-47.961628,1043.165405,-107.913666,206.666672,-511.111115,185.000000,-2.240112,2.730137,3.710186,84
-119.904068,1031.175049,-95.923256,208.888885,-504.444458,180.000000,-2.450123,3.570179,4.340217,85
-83.932854,1031.175049,-95.923256,208.888885,-506.666656,185.000000,-2.800140,4.340217,4.410221,86
-119.904068,983.213379,-47.961628,208.888885,-500.000000,180.000000,-3.010150,4.340217,4.550228,87
-95.923256,1007.194214,-71.942444,206.666672,-508.888885,180.000000,-3.010150,4.690235,4.410221,88
-71.942444,1007.194214,-95.923256,206.666672,-506.666656,185.000000,-2.730137,4.760238,3.850193,89
-71.942444,983.213379,-83.932854,206.666672,-506.666656,182.500000,-2.310116,5.320266,3.850193,90
-23.980814,1007.194214,-119.904068,208.888885,-506.666656,180.000000,-1.120056,5.320266,2.730137,91
-35.971222,995.203796,-83.932854,206.666672,-511.111115,185.000000,-0.910046,5.320266,0.910046,92
-143.884888,1007.194214,-47.961628,213.333328,-506.666656,182.500000,-0.490025,3.990200,0.770038,93
-95.923256,1019.184631,-59.952034,206.666672,-513.333313,185.000000,-0.420021,3.500175,0.420021,94
-143.884888,1007.194214,-71.942444,213.333328,-502.222229,180.000000,-0.350018,2.240112,0.630032,95
-107.913666,1019.184631,-35.971222,208.888885,-511.111115,182.500000,-0.350018,1.260063,1.680084,96
-95.923256,1007.194214,-95.923256,211.111115,-506.666656,180.000000,-0.770038,0.980049,1.330067,97
-83.932854,1031.175049,-83.932854,206.666672,-511.111115,182.500000,-0.700035,-0.140007,0.770038,98
-95.923256,1055.155884,-143.884888,208.888885,-500.000000,180.000000,-0.980049,0.000000,0.770038,99
